J2_39,GPIO_AD_B0_00
J2_40,GPIO_AD_B0_01
J2_37,GPIO_AD_B0_02
J2_38,GPIO_AD_B0_03
J2_35,GPIO_AD_B0_04
J2_36,GPIO_AD_B0_05
J2_33,GPIO_AD_B0_06
J2_34,GPIO_AD_B0_07
J2_31,GPIO_AD_B0_08
J2_32,GPIO_AD_B0_09
J2_29,GPIO_AD_B0_10
J2_30,GPIO_AD_B0_11
J2_27,GPIO_AD_B0_12
J2_28,GPIO_AD_B0_13
J2_25,GPIO_AD_B0_14
J2_26,GPIO_AD_B0_15
J2_23,GPIO_AD_B1_10
J2_24,GPIO_AD_B1_11
J2_21,GPIO_AD_B1_12
J2_22,GPIO_AD_B1_13
J2_19,GPIO_AD_B1_14
J2_20,GPIO_AD_B1_15
J3_08,GPIO_SD_B1_00
J3_10,GPIO_SD_B1_01
J3_12,GPIO_SD_B1_02
J3_14,GPIO_SD_B1_03
J3_16,GPIO_SD_B1_04
J3_18,GPIO_SD_B1_05
J3_20,GPIO_SD_B1_06
J3_22,GPIO_SD_B1_07
J3_24,GPIO_SD_B1_08
J3_26,GPIO_SD_B1_09
J3_28,GPIO_SD_B1_10
J3_30,GPIO_SD_B1_11
J3_07,GPIO_EMC_04
J3_09,GPIO_EMC_05
J3_11,GPIO_EMC_06
J3_13,GPIO_EMC_07
J3_15,GPIO_EMC_08
J3_17,GPIO_EMC_09
J3_19,GPIO_EMC_16
J3_21,GPIO_EMC_17
J3_23,GPIO_EMC_18
J3_25,GPIO_EMC_19
J3_27,GPIO_EMC_20
J3_29,GPIO_EMC_21
J3_31,GPIO_EMC_22
J3_32,GPIO_EMC_23
J3_33,GPIO_EMC_24
J3_34,GPIO_EMC_25
J3_35,GPIO_EMC_26
J3_36,GPIO_EMC_27
J3_37,GPIO_EMC_32
J3_38,GPIO_EMC_33
J3_39,GPIO_EMC_34
J3_40,GPIO_EMC_35
